Word,Index_0_Based
the,0
this,1
you,2
for,3
lets,4
can,5
just,6
ill,7
morning,8
from,9
next,10
shes,11
tomorrow,12
our,13
meeting,14
tonight,15
your,16
work,17
good,18
how,19
hes,20
office,21
forgot,22
notebook,23
theyre,24
call,25
finished,26
workout,27
got,28
evening,29
over,30
guests,31
having,32
were,33
month,34
plan,35
trip,36
later,37
today,38
see,39
cafe,40
should,41
schedule,42
want,43
join,44
online,45
weather,46
nice,47
book,48
reading,49
really,50
interesting,51
home,52
please,53
review,54
attached,55
document,56
conference,57
starts,58
working,59
properly,60
isnt,61
machine,62
coffee,63
look,64
what,65
time,66
appointment,67
experiment,68
results,69
cooking,70
everyone,71
dinner,72
after,73
small,74
event,75
organizing,76
there,77
ten,78
share,79
presentation,80
slides,81
minutes,82
weekend,83
bought,84
market,85
fresh,86
vegetables,87
some,88
puts,89
mood,90
song,91
always,92
send,93
report,94
discuss,95
code,96
matlab,97
learning,98
was,99
help,100
meet,101
fix,102
printer,103
issue,104
lunch,105
movie,106
new,107
watching,108
peaceful,109
place,110
feels,111
system,112
update,113
successful,114
love,115
need,116
charge,117
phone,118
battery,119
threat,120
now,121
saying,122
that,123
said,124
right,125
theyll,126
someone,127
coming,128
hurt,129
keeps,130
hell,131
outside,132
message,133
threatened,134
man,135
stop,136
pay,137
police,138
following,139
attack,140
car,141
burn,142
hit,143
making,144
death,145
threats,146
against,147
shouted,148
being,149
find,150
waiting,151
into,152
break,153
trying,154
weapon,155
speak,156
back,157
house,158
off,159
before,160
get,161
family,162
with,163
threatening,164
they,165
door,166
feel,167
unsafe,168
yelling,169
kill,170
move,171
closer,172
any,173
come,174
dont,175
chased,176
person,177
sending,178
violent,179
messages,180
warned,181
regret,182
reporting,183
stay,184
away,185
him,186
sent,187
gone,188
soon,189
cornered,190
and,191
harmed,192
touch,193
again,194
followed,195
stranger,196
